timestamp,open,high,low,close,volume
2020-08-07,204.2000,209.7500,204.0000,209.4800,6191783
2020-08-06,203.0000,205.3900,202.7000,205.0200,3387477
2020-08-05,201.4400,204.6900,201.0000,203.6200,5269199
2020-08-04,198.9700,200.3100,198.1100,200.2400,3839089
2020-08-03,197.2800,200.6800,196.0000,199.2600,6253519
2020-07-31,195.0600,196.0000,193.3300,195.7800,5943185
2020-07-30,193.4300,194.5700,192.2500,194.3000,4834570
2020-07-29,194.0300,196.6700,193.7300,196.4100,4069954
2020-07-28,190.9000,194.4600,190.6100,194.1200,4412796
2020-07-27,193.8300,193.9900,191.7700,192.1400,4312003
2020-07-24,193.2500,196.2800,193.0500,194.5200,5143693
2020-07-23,191.7100,193.3900,191.4800,193.2500,6039644
2020-07-22,191.7800,192.2400,190.6300,192.1000,4184472
2020-07-21,190.4000,193.4500,190.4000,192.2700,5256300
2020-07-20,190.0200,191.2300,189.4800,190.4800,4089400
2020-07-17,191.7700,192.1200,190.4700,190.7600,5186800
2020-07-16,188.3200,191.9300,188.3200,191.0100,4771300
2020-07-15,192.6400,193.0500,188.7500,190.5600,7558200
2020-07-14,182.4200,190.0800,182.4200,189.7100,14683400
2020-07-13,183.8100,185.8200,183.3100,184.1300,7885600
2020-07-10,178.2600,182.9600,178.0900,182.9000,5482300
2020-07-09,181.7900,181.8800,177.7700,178.8000,5420600
2020-07-08,180.4200,182.3100,179.7700,181.2000,5547800
2020-07-07,182.0200,182.4900,180.6000,181.1500,4952100
2020-07-06,183.1000,183.5200,181.5900,182.7200,6443300
2020-07-02,180.4500,180.9400,178.2400,178.8300,5163100
2020-07-01,178.4100,180.4500,177.3400,177.9900,4619800
2020-06-30,176.7500,179.1200,176.5100,178.5100,6763800
2020-06-29,175.9000,177.2200,175.3300,177.1900,5222730
2020-06-26,176.7100,178.7000,174.6300,175.3700,14772100
2020-06-25,176.5800,179.7200,176.0600,178.8500,6380000
2020-06-24,179.6100,179.6500,177.2600,177.5300,8081200
2020-06-23,181.8700,182.3900,180.4000,181.0100,6378100
2020-06-22,179.5500,181.8000,178.8700,180.1700,5816900
2020-06-19,183.5000,183.8800,179.0100,179.7200,8767900
2020-06-18,179.9000,181.3600,179.0400,180.7300,4920900
2020-06-17,183.0300,183.1500,180.1100,180.8600,6448500
2020-06-16,186.5500,186.7000,179.7500,182.3000,9407600
2020-06-15,177.0000,181.7700,176.0500,181.5500,8105200
2020-06-12,184.0200,184.0200,178.2200,181.2100,9476800
2020-06-11,185.0000,186.9300,177.9300,178.0200,15372400
2020-06-10,195.8500,196.3400,191.3700,191.5100,7337400
2020-06-09,197.1500,198.7900,195.8300,196.0700,7711800
2020-06-08,202.3400,203.3300,199.5600,201.5600,6695100
2020-06-05,197.8800,201.4900,196.2200,200.6600,10390400
2020-06-04,190.4100,192.1100,189.6900,192.0500,5809800
2020-06-03,188.7500,191.6200,187.8100,190.8200,6706700
2020-06-02,183.9900,186.4400,183.9900,185.9400,5803000
2020-06-01,185.5300,185.7100,183.1900,183.8400,5718800
2020-05-29,183.0800,185.8700,182.5300,185.5800,10630200
2020-05-28,187.2400,187.2800,183.9200,185.1000,6313100
2020-05-27,184.6700,185.9800,183.8000,185.7700,7410500
2020-05-26,179.9900,181.6900,178.6800,180.3400,7107600
2020-05-22,174.8600,175.1200,173.2100,174.9300,3584800
2020-05-21,175.7400,176.6500,174.4700,174.9400,4059900
2020-05-20,174.6100,176.8700,174.2900,176.0200,5455600
2020-05-19,174.1200,174.8700,172.3400,172.4900,5574800
2020-05-18,174.0000,176.8700,172.3100,175.4600,7458900
2020-05-15,169.8200,170.6600,168.5200,169.2500,5937500
2020-05-14,168.8000,171.4000,167.0400,170.9300,7013600
2020-05-13,172.0000,172.6100,169.4400,170.5700,10258900
2020-05-12,175.2000,175.7100,172.7300,172.8100,6470900
2020-05-11,175.2300,175.9600,173.6100,174.6400,9235700
2020-05-08,176.7100,177.2600,174.2800,176.8300,5793600
2020-05-07,173.4000,175.3800,173.0500,173.4800,6698000
2020-05-06,176.9400,177.0400,172.3400,172.3800,9003000
2020-05-05,180.0500,180.2300,175.9300,176.0300,9016300
2020-05-04,179.7800,180.3600,176.3400,177.9500,9448600
2020-05-01,185.2100,185.8900,181.6400,182.6700,7513700
2020-04-30,188.3000,189.8700,186.7100,187.3600,8217800
2020-04-29,190.6400,192.6800,188.9300,189.6100,7645000
2020-04-28,190.5400,191.0000,187.0000,187.1200,6674600
2020-04-27,187.7800,189.3700,186.3500,187.4600,6622400
2020-04-24,187.0800,187.2800,184.4200,186.5200,5205500
2020-04-23,186.9900,187.3500,184.5000,185.6300,6211900
2020-04-22,186.4600,187.3700,185.3400,186.5800,5470000
2020-04-21,184.1700,185.7800,183.2800,183.4800,5882500
2020-04-20,188.7200,189.3500,187.3000,188.7500,6474700
2020-04-17,192.8900,192.9000,189.0200,191.2000,8272200
2020-04-16,188.9000,188.9900,185.8000,187.9600,6228200
2020-04-15,188.5600,189.5900,187.4700,188.5700,6138300
2020-04-14,193.3200,194.1600,190.8200,192.9400,7032000
2020-04-13,193.8500,193.8500,186.0800,188.7700,7888600
2020-04-09,194.0000,197.2300,191.4500,193.8400,10519600
2020-04-08,187.5500,191.4200,185.1400,191.0100,6109900
2020-04-07,191.9900,192.0000,184.9000,185.2500,8148200
2020-04-06,184.6100,186.4100,180.4900,185.2400,9935500
2020-04-03,178.5900,180.2200,175.4400,178.3400,6643700
2020-04-02,175.0000,180.3100,174.2300,179.7300,7271900
2020-04-01,176.1800,178.6700,174.1900,175.9500,8682700
2020-03-31,182.0500,186.1700,180.5700,182.8300,8996800
2020-03-30,180.0400,184.1100,178.0000,183.1800,7672600
2020-03-27,178.5000,184.2400,176.7200,179.6600,10259500
2020-03-26,181.2900,184.9600,179.5900,183.9000,14131400
2020-03-25,180.0100,189.0700,175.1700,180.4700,13851200
2020-03-24,170.9100,179.1400,169.5300,178.2000,14075100
2020-03-23,165.3000,166.6900,159.5000,162.1300,16501500
2020-03-20,176.3000,177.1800,167.2900,170.0600,15213600
2020-03-19,170.2100,176.1800,166.0000,174.6800,12488100
2020-03-18,177.2900,181.3900,167.0000,172.4400,16669300
